city,category,name,address,district,lat,lng,description,website,phone,rating,ratingCount,photoUrls,sourceUrls,features_off_leash_allowed,features_water_bowls,features_dogs_allowed_indoors,activity_type,activity_attrs_entry,activity_attrs_shallow_entry
Paris,cafe_restaurant_bar,Café de Flore,"172 Boulevard Saint-Germain, 75006 Paris",6e,,,Iconic Saint‑Germain café with wrap‑around terrace perfect for people‑watching. Dogs welcome on terrace; staff can bring water bowls.,https://cafedeflore.fr/,,,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Caf%C3%A9_de_Flore.jpg,https://cafedeflore.fr/,,true,UNKNOWN,,,
Paris,cafe_restaurant_bar,Les Deux Magots,"6 Place Saint‑Germain‑des‑Prés, 75006 Paris",6e,,,"Historic literary café, dogs seen often on terrace. Great for post‑Luxembourg stroll with pup.",https://www.lesdeuxmagots.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,cafe_restaurant_bar,Angelina (Rivoli),"226 Rue de Rivoli, 75001 Paris",1er,,,"Belle‑Époque tea room, terrace dog‑friendly, popular for hot chocolate.",https://www.angelina-paris.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,park_offleash_area,Bois de Boulogne – Allée des Chiens,"Bois de Boulogne, 75016 Paris",16e,,,Large forest park with off‑leash paths and ponds. Famous dog community spot.,https://www.paris.fr/pages/bois-de-boulogne-1788,,,,,,Always,UNKNOWN,UNKNOWN,,,
Paris,park_offleash_area,Bois de Vincennes – Lac Daumesnil Dog Zone,"Bois de Vincennes, 75012 Paris",12e,,,"Eastern Paris forest with canine areas near lakes. Leash in most parts, off‑leash zones marked.",https://www.paris.fr/pages/bois-de-vincennes-1787,,,,,,Zoned,UNKNOWN,UNKNOWN,,,
Paris,park_offleash_area,Parc Montsouris (dog areas),"2 Rue Gazan, 75014 Paris",14e,,,"Landscaped park with dog‑allowed alleys, fountains nearby.",,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,trail_hike,Coulée Verte René‑Dumont,"44‑46 Rue de Lyon, 75012 Paris",12e,,,Elevated greenway on old railway viaduct; leash required; calm in mornings.,https://www.paris.fr/lieux/coulee-verte-rene-dumont-17978,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,trail_hike,Canal Saint‑Martin Riverside,"Quai de Valmy, 75010 Paris",10e,,,Flat canal‑side walk with iron footbridges and cafés; lively in afternoons.,,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,trail_hike,Forêt de Fontainebleau,77300 Fontainebleau,Seine‑et‑Marne,,,"Huge forest ~1h from Paris, sandy trails, boulders, pine groves. Dogs love it.",https://www.fontainebleau-tourisme.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,lake_swim,Île de Loisirs de Cergy‑Pontoise,"Rue des Étangs, 95000 Cergy",Val‑d’Oise,,,Expansive leisure area with lakeside loops and picnic lawns. Dogs on leash around lakes.,https://cergy-pontoise.iledeloisirs.fr/,,,,,,,UNKNOWN,UNKNOWN,lake,shore,true
Paris,lake_swim,Île de Loisirs de Vaires‑Torcy,"Route de Lagny, 77200 Torcy",Seine‑et‑Marne,,,"350‑hectare recreation base with rowing basin. Dogs leashed near banks, not on beaches.",https://vaires-torcy.iledeloisirs.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,lake_swim,Étangs de Meudon,"Route Forestière du Manet, 92360 Meudon",Hauts‑de‑Seine,,,Woodland ponds with shaded banks and soft ground. Leash required.,,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,pet_store_boutique,Moustaches – Archives,"32 Rue des Archives, 75004 Paris",4e,,,Trendy pet concept store with design accessories and treats.,https://www.moustaches.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,pet_store_boutique,Petsochic – Rue Dauphine,"16 Rue Dauphine, 75006 Paris",6e,,,Luxury pet boutique with leather goods and grooming spa.,https://petsochic.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,pet_store_boutique,Animalis – Bercy Village,"47 Rue des Pirogues de Bercy, 75012 Paris",12e,,,"Large pet store in Bercy Village complex. Stock food, toys, accessories.",https://magasin.animalis.com/1-animalis-paris-12-bercy,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,vet_clinic_hospital,CHV Frégis,"43 Avenue Aristide Briand, 92120 Arcueil",Val‑de‑Marne,,,Famous 24/7 veterinary referral hospital near Paris.,https://www.fregis.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,vet_clinic_hospital,CHV ADVETIA,"Vélizy-Villacoublay, Yvelines",Yvelines,,,Large modern hospital with 24/7 emergency and specialties.,https://www.advetia.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,vet_clinic_hospital,Clinique Vétérinaire Paris 7,"11 Rue de la Comète, 75007 Paris",7e,,,Central neighborhood clinic for routine care.,https://vetparis7.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_groomer,Dog‑Station Toilettage,"12 Rue Rennequin, 75017 Paris",17e,,,"Popular grooming salon for all breeds, offers baths, trims, and hand stripping.",https://www.dogstationparis.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_groomer,Toutou Chic,"15 Rue Lebon, 75017 Paris",17e,,,"High‑end grooming, gentle methods, skin‑friendly products.",https://www.toutouchicparis.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_groomer,Au Paradis Canin,"21 Rue du Cardinal Lemoine, 75005 Paris",5e,,,Experienced groomer offering cuts and ear care.,https://paradiscanin.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_hotel_boarding,Pension du Pont de Sèvres,"18 Av. de la Division Leclerc, 92310 Sèvres",Hauts‑de‑Seine,,,"Family‑style boarding with garden access, near Paris.",https://pensiondupontdesevres.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_hotel_boarding,The Canine Residency,Shuttle from Paris to IDF countryside,Île‑de‑France,,,Cage‑free daycare with structured play and rest; daily shuttle from Paris.,https://thecanineresidency.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_hotel_boarding,Le Domaine Câlin,77500 Chelles,Seine‑et‑Marne,,,"Home‑style boarding without cages, small groups in garden property.",https://www.ledomainecalin.com/web/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_walker_trainer,Canidélite Paris,Paris,Paris,,,"Positive‑reinforcement training network, group sessions, sports.",https://canidelite.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_walker_trainer,GentleDog Éducation Canine,Paris,Paris,,,"Force‑free trainer, offers puppy and reactivity programs.",https://gentle-dog.com/,,,,,,,UNKNOWN,UNKNOWN,,,
Paris,dog_walker_trainer,Parlez‑Vous Chien?,Paris/Bois de Vincennes,Paris,,,Certified behaviorist for recall and leash manners around Vincennes.,https://parlezvouschien.fr/,,,,,,,UNKNOWN,UNKNOWN,,,
