name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Westerpark Hondenlosloopgebied,park_offleash_area,Amsterdam,Netherlands,52.3876,4.8690,"A large, fenced off-leash dog area within the lively Westerpark.","Westerpark is a favorite for locals, and its designated off-leash area is a true urban dog paradise. The space is large, with a mix of grassy fields and some dirt patches, perfect for a good run. It is fully fenced, providing a safe and contained environment for dogs to play and socialize. There are benches for owners, but bringing a blanket for a picnic is recommended on a nice day. Water fountains are available for both humans and dogs. The park can get quite busy on weekends, so for a quieter experience, visit on a weekday morning.","5","Dogs must be on a leash when outside the designated fenced area. Owners must clean up waste immediately. Aggressive dogs are not permitted.","http://www.westerpark.amsterdam","+31 20 555 1234","info@westerpark.nl","free","Mon-Sun: 08:00-22:00","4.6","City Park Guide","[""Fenced Area"", ""Water Fountain"", ""Benches"", ""Grassy Area"", ""Waste Bags""]","[""off-leash"", ""park"", ""fenced"", ""social"", ""play""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Vondelpark,park_onleash_area,Amsterdam,Netherlands,52.3582,4.8672,"Amsterdam's most famous park, with beautiful on-leash walking paths and green spaces.","Vondelpark is a stunning public park and a must-visit for any dog owner. While the park is primarily an on-leash area, the wide, winding paths and vast grassy lawns provide plenty of space for a long, scenic walk. The park is well-shaded by mature trees and features beautiful ponds and gardens. There are some designated off-leash areas, but they are smaller. Water fountains are available throughout the park. It's a very popular spot, so it can get crowded, especially on sunny afternoons.","4","Dogs must be on a leash in all non-designated off-leash areas. Owners must clean up waste immediately. Respect other park visitors.","http://www.vondelpark.amsterdam","+31 20 666 5555","contact@vondelpark.nl","free","Mon-Sun: 24/7","4.7","City Park Guide","[""Paved Paths"", ""Grassy Areas"", ""Shade Trees"", ""Benches"", ""Water Fountains"", ""Scenic Views""]","[""on-leash"", ""park"", ""walking"", ""scenic"", ""popular""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Hondenkamer,cafe_dog_friendly,Amsterdam,Netherlands,52.3789,4.8972,"A cozy and intimate cafe that welcomes dogs with open arms, offering homemade treats.","De Hondenkamer is a small, charming cafe where dogs are the most important guests. The owner is a true dog lover and provides fresh water bowls and a variety of delicious homemade dog biscuits. The cafe has a few tables inside and a small outdoor bench, creating a very personal and calm atmosphere. It's a great spot for a quiet coffee break with your dog. The cafe also sells a selection of dog-friendly products like toys and treats.","5","Dogs must be on a leash. Please keep your dog from barking excessively. Do not feed your dog from the human menu.","http://www.dehondenkamer.nl","+31 20 777 8888","info@dehondenkamer.nl","$$","Mon-Fri: 09:00-17:00, Sat: 10:00-16:00","4.9","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Dog Treats"", ""Cozy Atmosphere"", ""Coffee""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""pet food""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Dierenarts aan de Gracht,vet_clinic,Amsterdam,Netherlands,52.3685,4.8872,"A professional veterinary clinic located by a canal, offering a full range of services.","De Dierenarts aan de Gracht is a well-established clinic providing comprehensive veterinary care. They offer everything from routine check-ups and vaccinations to more complex surgeries. The clinic is known for its calm and friendly environment, helping to reduce stress for pets. The staff are highly trained and compassionate. They have modern diagnostic tools and a pharmacy on-site. Appointments are highly recommended to ensure a prompt visit. They also offer nutritional and behavioral advice.","5","All dogs must be leashed. Please bring your pet's vaccination record. Muzzles may be required for nervous dogs.","http://www.dierenartsaandegracht.nl","+31 20 888 7777","contact@dierenartsaandegracht.nl","$$$$","Mon-Fri: 09:00-18:00, Sat: 10:00-14:00","4.8","Verified Business","[""Emergency Services"", ""Surgery"", ""Vaccinations"", ""Dental Care"", ""Pharmacy"", ""Diagnostic Imaging""]","[""vet"", ""veterinarian"", ""clinic"", ""health"", ""animal care""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Pels en Poten,grooming_salon,Amsterdam,Netherlands,52.3812,4.8911,"A professional grooming salon offering a wide range of services to pamper your dog.","Pels en Poten provides high-quality grooming services in a calm and friendly environment. They offer baths, haircuts, nail trimming, and de-shedding treatments. The groomers are highly skilled and trained to handle all breeds and temperaments with patience and care. They use hypoallergenic and natural products. The salon is clean and well-organized, and appointments are required. It's a great place to get a stylish and comfortable cut for your dog.","5","Appointments are mandatory. All dogs must have current vaccinations. Please inform staff of any health or behavioral issues.","http://www.pelsenpoten.nl","+31 20 999 0000","grooming@pelsenpoten.nl","$$$","Tue-Sat: 09:30-18:30","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Natural Products"", ""Calm Environment""]","[""grooming"", ""salon"", ""dog wash"", ""haircut"", ""pet care""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Hondenbrouwerij,brewery_dog_friendly,Amsterdam,Netherlands,52.3732,4.9087,"A small brewery with a dog-friendly atmosphere and a focus on local craft beers.","De Hondenbrouwerij is a great place to unwind with a good beer and your dog. While they don't have a large terrace, the interior is spacious enough for leashed dogs to relax at your feet. The staff are friendly and welcoming to dogs, often bringing out a water bowl. They offer a great selection of local and seasonal beers. The atmosphere is casual and unpretentious, perfect for a relaxed evening with your best friend. It can get busy on weekend evenings, so an early visit is recommended.","4","Dogs must be on a leash. Do not allow your dog to roam freely. Owners are responsible for their pets' behavior.","http://www.hondenbrouwerij.nl","+31 20 111 2222","info@hondenbrouwerij.nl","$$","Wed-Fri: 17:00-00:00, Sat-Sun: 15:00-01:00","4.4","Verified Business","[""Indoor Seating"", ""Water Bowls"", ""Craft Beer"", ""Casual"", ""Local Brews""]","[""brewery"", ""dog friendly"", ""craft beer"", ""casual""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
De Hondenhoek,pet_store,Amsterdam,Netherlands,52.3685,4.8872,"A comprehensive pet store offering everything your dog needs, from food to accessories.","De Hondenhoek is a well-stocked pet store with a wide selection of products. They carry a variety of dog food brands, including natural and specialized diets. The store also features a large collection of toys, leashes, beds, and other supplies. The staff are knowledgeable and can help you find the right products for your dog. They often host adoption events and special promotions. The store is spacious and easy to walk through with a dog.","4","Dogs must be on a leash. Please be respectful of other customers and their pets.","http://www.hondenhoek.nl","+31 20 888 7778","shop@hondenhoek.nl","$$","Mon-Sat: 10:00-19:30","4.5","Verified Business","[""Pet Food"", ""Toys"", ""Leashes & Collars"", ""Treats"", ""Beds"", ""Training Supplies""]","[""pet store"", ""supplies"", ""food"", ""toys"", ""shopping""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Amsterdam Dog Training,dog_training,Amsterdam,Netherlands,52.3582,4.8672,"Offering professional dog training classes, from basic obedience to advanced behavior modification.","Amsterdam Dog Training is a well-regarded training center that uses positive reinforcement techniques. They offer a variety of classes for all ages and skill levels, including puppy socialization, basic obedience, and city-specific training to handle urban environments. The trainers are certified and experienced. They also offer one-on-one sessions for specific behavioral issues. The classes are small to ensure personalized attention. It's a great place to build a strong bond with your dog and ensure they are well-behaved in all situations.","5","Dogs must be up-to-date on vaccinations. You must register for classes in advance. Dogs with aggression issues may require a private consultation.","http://www.amsterdamdogtraining.nl","+31 20 666 5556","info@amsterdamdogtraining.nl","$$$$","Class schedules vary, check website for details","4.8","Verified Business","[""Puppy Classes"", ""Obedience Training"", ""Behavior Modification"", ""Private Sessions"", ""Positive Reinforcement""]","[""dog training"", ""obedience"", ""puppy class"", ""behavior"", ""trainer""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hotel De Vier Poten,hotel_pet_friendly,Amsterdam,Netherlands,52.3789,4.8972,"A boutique hotel that provides a luxurious and comfortable stay for dogs and their owners.","Hotel De Vier Poten is a pet-friendly boutique hotel in a central location. They welcome dogs of all sizes with a special welcome kit that includes a gourmet treat, a comfortable dog bed, and food/water bowls. Dogs are allowed in the rooms and the lobby, but not in the breakfast area. A small surcharge per night applies. The hotel is located close to several parks, making it easy to take your dog out for walks. The staff are exceptionally kind to pets and their owners.","4","A pet surcharge applies. Dogs must be on a leash in public areas. Owners are responsible for any damages.","http://www.hoteldevierpoten.nl","+31 20 777 8889","reservations@hoteldevierpoten.nl","$$$$$","Mon-Sun: 24/7","4.5","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Welcome Treat"", ""Pet-Friendly Rooms"", ""Nearby Parks""]","[""hotel"", ""pet friendly"", ""luxury"", ""accommodations"", ""travel""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Pllek,restaurant_dog_friendly,Amsterdam,Netherlands,52.3888,4.8973,"A vibrant restaurant with a large, dog-friendly terrace on the waterfront.","Pllek is a unique restaurant and cultural space located in Amsterdam Noord, with a large terrace that is very welcoming to dogs. The terrace offers stunning views of the IJ waterfront and has plenty of space for dogs to relax. The staff are friendly and accommodating, and will provide water bowls. The atmosphere is bohemian and relaxed, making it a great spot for a casual meal or a drink. It's a fantastic place to visit on a sunny day.","4","Dogs must be leashed and remain under the table. Do not allow your dog on the furniture. Be mindful of other patrons and staff.","http://www.pllek.nl","+31 20 666 4444","info@pllek.nl","$$$","Mon-Fri: 11:00-01:00, Sat-Sun: 10:00-01:00","4.2","Verified Business","[""Outdoor Seating"", ""Waterfront Views"", ""Water Bowls"", ""Bohemian Vibe"", ""Terrace""]","[""restaurant"", ""dog friendly"", ""terrace"", ""waterfront"", ""casual""]","[""https://images.unsplash.com/photo-1596753738148-e87771746285"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
