name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Pipican Parc de la Ciutadella,park_offleash_area,Barcelona,Spain,41.3879,2.1856,"A fenced off-leash area within the iconic Ciutadella Park, offering space for dogs to run.","Located inside the beautiful Parc de la Ciutadella, this designated off-leash zone is a social hub for local dogs. The area is a mix of hard-packed earth and gravel, which can get dusty but is well-drained. It's fully fenced, providing a safe and contained environment for play. Benches are available for owners, and there are some large trees for shade. Water is not always available, so bringing your own is highly recommended. The park is a popular meeting spot, especially in the evenings after work. It's a great place for urban dogs to burn off energy.",4,"Dogs must be leashed when outside the fenced area. Owners must clean up waste immediately. Aggressive dogs are not permitted.","http://www.barcelona.cat/ciutadellaparc","+34 934567890","info@barcelonaparks.es","free","Mon-Sun: 08:00-21:00","4.1","City Park Guide","[""Fenced Area"", ""Benches"", ""Shade Trees"", ""Social Spot"", ""Waste Bags""]","[""off-leash"", ""park"", ""Ciutadella"", ""fenced"", ""social""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
El Rincón del Can,cafe_dog_friendly,Barcelona,Spain,41.3921,2.1645,"A charming, cozy cafe that welcomes dogs with open arms and serves up delicious treats.","El Rincón del Can is a small, intimate café where dogs are treated like royalty. The staff are true dog lovers and provide fresh water bowls and homemade dog biscuits. The interior is small, but comfortable, with dog-friendly flooring. On a nice day, their sidewalk seating is the best spot to people-watch with your pup. The café offers a calm and relaxed atmosphere, ideal for a break during a city walk. The best time to visit is during the week to avoid the weekend rush.","5,""Dogs must be on a leash. Please keep your dog from barking excessively inside.","http://www.elrincondelcan.es","+34 931234567","info@elrincondelcan.es","$$","Mon-Fri: 09:00-19:00, Sat: 10:00-18:00","4.7","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Dog Treats"", ""Cozy Atmosphere"", ""Coffee""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""pet food""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Parc de la Guineueta,park_onleash_area,Barcelona,Spain,41.4287,2.1677,"A large on-leash park with extensive green spaces and wide paths for a pleasant stroll.","Parc de la Guineueta offers a peaceful retreat for owners and their dogs. This expansive park features wide, well-maintained paths and large grassy areas, perfect for a long, leisurely walk. It is an on-leash park, which helps maintain a calm environment for all visitors. The park is well-shaded by numerous trees, making it a great spot even on hot summer afternoons. There are public drinking fountains available. It's a popular local spot for a quiet and relaxing walk away from the city center bustle.","4,""Dogs must be on a leash at all times. Owners must clean up all waste. Respect other park users and wildlife.","http://www.barcelona.cat/parcsiguineueta","+34 939876543","contact@parcsiguineueta.es","free","Mon-Sun: 24/7","4.3","City Park Guide","[""Paved Paths"", ""Shade Trees"", ""Benches"", ""Water Fountain"", ""Grassy Areas""]","[""on-leash"", ""park"", ""walking"", ""spacious"", ""peaceful""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Llevant Dog Beach,beach_dog_friendly,Barcelona,Spain,41.4071,2.2198,"Barcelona's only official dog beach, fully fenced and equipped for a safe swim and play.","Llevant Dog Beach is a dedicated and safe haven for dogs to enjoy the Mediterranean. The area is fully fenced with access controls to ensure only microchipped dogs are allowed. The beach has showers for dogs and owners, and a drinking fountain. The sand is clean and well-maintained. This spot is a very popular summer destination, so it can get crowded. It's best to visit early in the morning or late in the afternoon to avoid the hottest hours and the biggest crowds. The water is calm and shallow, perfect for a dog's first swim.","5,""Dogs must have a microchip and proper documentation. Dogs must be on leash when entering and exiting the beach. Owners must clean up waste.","http://www.barcelona.cat/dogbeach","+34 936543210","info@barcelonabeaches.es","free","Seasonal: June-Sept, 10:30-19:30","4.6","City Park Guide","[""Fenced Area"", ""Water Access"", ""Showers"", ""Water Fountain"", ""Benches"", ""Waste Bins""]","[""beach"", ""swimming"", ""dog friendly"", ""summer"", ""fenced"", ""water""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Tapas y Perros,restaurant_dog_friendly,Barcelona,Spain,41.3853,2.1691,"A bustling tapas restaurant with a lively terrace that warmly welcomes dogs.","Tapas y Perros is a popular spot in the city center, known for its delicious tapas and dog-friendly terrace. The outdoor seating is spacious, providing ample room for dogs to relax under the table. The staff are accommodating and will bring a water bowl for your pup without you even having to ask. It's a great place to enjoy a meal with friends while your dog relaxes. The atmosphere is vibrant and casual. It's best to reserve a table on the terrace during peak hours.","4,""Dogs must be on a leash. Keep your dog under the table and out of the walkway. No dogs on the furniture.","http://www.tapasperrosbcn.es","+34 939012345","reservas@tapasperrosbcn.es","$$$","Mon-Sun: 13:00-23:00","4.2","Verified Business","[""Outdoor Seating"", ""Terrace"", ""Water Bowls"", ""Tapas"", ""Casual""]","[""restaurant"", ""terrace"", ""dog friendly"", ""tapas"", ""dining""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
The Pooch Place,doggy_daycare,Barcelona,Spain,41.4018,2.1811,"A safe and fun doggy daycare providing supervised play and socialization in the city.","The Pooch Place offers a great solution for busy pet owners. Their facility is designed for dogs to play and socialize safely, with separate areas for different sizes and energy levels. The staff are trained professionals who ensure all dogs are happy and healthy. The daycare requires a temperament test before enrollment. They offer both full-day and half-day options, and you can get photo updates of your dog's day. It's a clean, safe, and stimulating environment for any dog.","5,""Dogs must be spayed or neutered. All vaccinations must be up to date. A temperament evaluation is required prior to enrollment.","http://www.thepoochplacebcn.es","+34 937654321","info@thepoochplacebcn.es","$$$","Mon-Fri: 08:00-19:00","4.8","Verified Business","[""Supervised Play"", ""Indoor Play Area"", ""Outdoor Yard"", ""Live Webcam"", ""Socialization""]","[""daycare"", ""doggy"", ""play"", ""socialize"", ""pet sitting""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Agility Park Nou Barris,dog_training,Barcelona,Spain,41.4331,2.1764,"A public agility park in the Nou Barris district with training equipment for dog owners.","This public agility park is a great resource for dog owners who want to practice agility or just have some fun. The park is fully fenced and features a variety of obstacles, including ramps, tunnels, and weave poles. It is not a supervised facility, so owners are responsible for their own dog's safety and behavior. It can get busy on weekends with many local dog owners. The ground is a mix of dirt and rubber mulch. It's a great place for dogs with high energy to practice their skills and bond with their owners.","4,""Owners are responsible for their dogs at all times. No aggressive dogs. Equipment is for dogs only.","http://www.barcelona.cat/agilitynoubarris","+34 934098765","contact@barcelonaparks.es","free","Mon-Sun: 08:00-21:00","4.0","City Park Guide","[""Fenced Area"", ""Agility Equipment"", ""Tunnels"", ""Ramps"", ""Benches""]","[""agility"", ""dog training"", ""park"", ""training"", ""fenced"", ""play""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hotel Urban Paws,hotel_pet_friendly,Barcelona,Spain,41.3854,2.1627,"A modern, pet-friendly hotel in a prime location, offering special amenities for dogs.","Hotel Urban Paws is a boutique hotel that embraces its four-legged guests. They offer a welcome kit for dogs, which includes a comfy bed, food bowls, and a toy. Dogs are permitted in the rooms and a few of the common areas, but not in the dining room. There is a small surcharge per night for pets. The hotel is located close to several small parks and is a great base for exploring the city with your dog. The staff are friendly and accommodating to pet owners' needs.","4,""A pet surcharge applies. Dogs must be on a leash in common areas. No pets in the dining room.","http://www.hotelurbanpaws.com","+34 931122334","reservas@hotelurbanpaws.com","$$$$","Mon-Sun: 24/7","4.5","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Welcome Kit"", ""Pet Concierge"", ""Nearby Parks""]","[""hotel"", ""pet friendly"", ""accommodations"", ""travel"", ""boutique""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Pet-Vet Barcelona,vet_clinic,Barcelona,Spain,41.3895,2.1588,"A professional veterinary clinic offering a full range of services for your pet's health.","Pet-Vet Barcelona is a well-established clinic providing comprehensive veterinary care. They offer everything from routine check-ups and vaccinations to more complex surgeries. The staff are highly trained and compassionate, working to make every visit as stress-free as possible for your pet. The clinic is equipped with modern diagnostic tools and an in-house pharmacy. Appointments are recommended to reduce wait times, but they can also accommodate emergencies. They focus on preventative care and also offer nutritional advice.","5,""All dogs must be leashed. Please bring your pet's vaccination record. Muzzles may be required for nervous or reactive dogs.","http://www.petvetbarcelona.es","+34 934567891","info@petvetbarcelona.es","$$$$","Mon-Fri: 09:00-20:00, Sat: 10:00-14:00","4.7","Verified Business","[""Vaccinations"", ""Emergency Services"", ""Surgery"", ""Dental Care"", ""Pharmacy"", ""Diagnostic Imaging""]","[""vet"", ""veterinarian"", ""clinic"", ""health"", ""animal care""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Grooming for Paws,grooming_salon,Barcelona,Spain,41.3965,2.1522,"A friendly and professional grooming salon for dogs, specializing in custom cuts and care.","Grooming for Paws provides a calm and pleasant grooming experience for your dog. They offer services ranging from basic baths and nail trims to full-service haircuts and de-shedding treatments. The groomers are experienced and gentle, using only high-quality, natural products. The salon is clean and the atmosphere is quiet, ideal for dogs who might be nervous about grooming. Appointments are required. They take the time to understand your dog's specific needs and skin sensitivities.","5,""Appointments are mandatory. Dogs must be up-to-date on vaccinations. Please notify staff of any behavioral or health issues.","http://www.groomingforpaws.es","+34 931239876","grooming@groomingforpaws.es","$$$","Tue-Sat: 10:00-19:00","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Natural Products"", ""Teeth Brushing""]","[""grooming"", ""salon"", ""dog wash"", ""haircut"", ""pet care""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Barkcelona,pet_store,Barcelona,Spain,41.3857,2.1706,"A modern pet store offering a curated selection of food, accessories, and toys for dogs.","Barkcelona is a well-known pet store that prides itself on its high-quality products. They carry a wide range of premium dog food brands, including organic and raw options. The store also features a stylish collection of leashes, collars, beds, and unique toys. The staff are knowledgeable and passionate about pet care, always ready to offer advice. They often host adoption events and workshops. The store is designed to be a comfortable space for dogs to browse with their owners.","5,""Dogs must be on a leash. Please be mindful of other customers and their pets.","http://www.barkcelona.es","+34 936789012","contact@barkcelona.es","$$","Mon-Sat: 10:00-20:00","4.8","Verified Business","[""Pet Food"", ""Toys"", ""Leashes & Collars"", ""Treats"", ""Beds"", ""Accessories""]","[""pet store"", ""supplies"", ""food"", ""toys"", ""shopping"", ""boutique""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
