city,category,name,address,website,photo_url,description,why_in_atlas
Berlin,Park / Airfield,Tempelhofer Feld (former airport),"Tempelhofer Damm 106, 12049 Berlin",https://www.tempelhofer-feld.de/,https://upload.wikimedia.org/wikipedia/commons/4/47/Tempelhofer_Feld_2015.jpg,"A vast open space on a former airport runway where dogs can enjoy long, straight laps and wind‑in‑fur sprints. There are fenced dog runs on both the Neukölln and Tempelhof sides, plus miles of paved and grass routes for varied routines. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Iconic Berlin freedom‑to‑roam feeling with huge sightlines—fantastic for recall practice and stroller‑friendly walks.
Berlin,Urban Park,Großer Tiergarten,"Straße des 17. Juni, 10557 Berlin",https://www.berlin.de/sehenswuerdigkeiten/3560268-3558930-tiergarten-park.html,https://upload.wikimedia.org/wikipedia/commons/5/5f/Tiergarten_Berlin_2013.jpg,"Berlin’s central green heart: leafy avenues, lakes, lawns and cafés woven between monuments. Leashed dogs can zigzag shaded paths and pause by the canals; it’s easy to stitch short or long loops together. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Classic ‘city + nature’ combo; perfect base for sightseeing days with a dog.
Berlin,Forest / Lake Loop,Grunewald & Grunewaldsee,"Hagenplatz (trail access), 14193 Berlin",https://www.berlin.de/en/parks-gardens/3551309-3552098-grunewald.en.html,https://upload.wikimedia.org/wikipedia/commons/4/4c/Grunewaldsee_2009.jpg,"Extensive forest crisscrossed by sandy trails around dog‑popular Grunewaldsee. Cool shade, soft footing and water access make it a year‑round favorite—watch for wildlife and follow posted rules. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",The quintessential Berlin forest walk; easy parking and public‑transport trailheads.
Berlin,Lake / Trail,Schlachtensee Circuit,"S‑Bahn Schlachtensee, 14129 Berlin",https://www.berlin.de/en/parks-gardens/3560572-3552098-schlachtensee.en.html,https://upload.wikimedia.org/wikipedia/commons/f/f0/Schlachtensee_Berlin.jpg,"A scenic loop around a clear forest lake with numerous benches and swim spots (check seasonal dog rules). Gently undulating path is great for steady pace walks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Beloved local circuit with postcard water views—excellent conditioning route.
Berlin,Lake / Trail,Krumme Lanke,"Fischerhüttenstr. 136, 14163 Berlin",https://www.berlin.de/en/parks-gardens/3560548-3552098-krumme-lanke.en.html,https://upload.wikimedia.org/wikipedia/commons/8/8f/Krumme_Lanke_in_Berlin_Schlachtensee.jpg,"Another forest‑rimmed lake just south of Schlachtensee, with quieter banks and sandy coves. Combine both lakes for a longer day out. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.","Shady, calm and easy underfoot—ideal for relaxed weekend loops."
Berlin,Lake / Riverside,Tegeler See & Greenwichpromenade,"Greenwichpromenade, 13507 Berlin",https://www.berlin.de/en/parks-gardens/3560542-3552098-tegeler-see.en.html,https://upload.wikimedia.org/wikipedia/commons/5/57/Tegeler_See_-_Greenwichpromenade_-_panoramio.jpg,"Waterside promenades with wide, flat paths, boat piers and breezy views. Nearby parks offer lawns for picnic breaks with leashed dogs. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.","Easy, scenic mileage with cafés and facilities close at hand."
Berlin,Lake / Beach Area,Müggelsee (Nordufer & Müggelspree),"Müggelseedamm, 12587 Berlin",https://www.berlin.de/en/parks-gardens/3560439-3552098-mueggelsee.en.html,https://upload.wikimedia.org/wikipedia/commons/d/de/Mueggelsee_Berlin.jpg,"Berlin’s largest lake with long shoreline paths and breezy pine stands; some stretches allow dog access (observe signs). Great for all‑day outings combining forest and waterfront. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Big‑sky lake walking inside city bounds—classic East Berlin nature day.
Berlin,Urban Park,Volkspark Friedrichshain,"Am Friedrichshain 1, 10407 Berlin",https://www.berlin.de/en/parks-gardens/3551297-3552098-friedrichshain-park.en.html,https://upload.wikimedia.org/wikipedia/commons/6/62/Volkspark_Friedrichshain_March_2008.jpg,"Historic park with gently rolling paths, rose gardens and the fairy‑tale fountain; dog meadows nearby. Plenty of benches and kiosks for breaks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Green anchor for Prenzlauer Berg and Friedrichshain strolls.
Berlin,Urban Park,Mauerpark & Falkplatz,"Gleimstraße 55, 10437 Berlin",https://www.berlin.de/en/parks-gardens/3560533-3552098-mauerpark.en.html,https://upload.wikimedia.org/wikipedia/commons/b/b6/Mauerpark_Berlin_2011.jpg,"Open lawns on the former death strip with markets and buskers on weekends. Great for socialized dogs that enjoy crowds—choose calmer hours if your pup prefers space. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Berlin history + community vibe; easy access from U2 Eberswalder Straße.
Berlin,Urban Park,Görlitzer Park,"Görlitzer Str. 1, 10997 Berlin",https://www.berlin.de/en/parks-gardens/3560505-3552098-goerlitzer-park.en.html,https://upload.wikimedia.org/wikipedia/commons/5/51/Goerlitzer_Park_1.jpg,"Wide lawns, paths and playgrounds in Kreuzberg; good as a connector toward the Landwehrkanal promenades. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Handy inner‑city green relief with plenty of exits to quieter streets.
