name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Gassi-Paradies am See,park_offleash_area,Berlin,Germany,52.5457,13.4891,"A spacious, off-leash park by the lake for dogs of all sizes. Features a large, fenced area and easy water access.","This popular off-leash area is a true paradise for dogs, offering ample space to run freely. The park features a well-maintained grassy field and a small, shallow access point to the lake, perfect for dogs to cool off on hot days. There are benches for owners, but bringing your own shade or blanket is recommended during summer. The terrain is mostly flat and grassy, with a sandy section near the water. Best times to visit are early mornings or late afternoons to avoid the midday sun and crowds.",5,"Dogs must be leashed when entering and exiting the park. Owners are responsible for cleaning up after their pets. Aggressive behavior is not tolerated.","http://www.gassiparadies.de","+49 30 12345678","info@gassiparadies.de","free","Mon-Sun: 06:00-22:00","4.7","City Park Guide","[""Fenced Area"", ""Water Access"", ""Shade Trees"", ""Benches"", ""Waste Bags"", ""Dog-friendly Fountain"", ""Open Field""]","[""water access"", ""off-leash"", ""spacious"", ""popular"", ""Berlin"", ""lake""]","[""https://images.unsplash.com/photo-1549488347-194098485208"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Urban Hound Café,cafe_dog_friendly,Berlin,Germany,52.5218,13.3976,"Cozy, dog-friendly café serving great coffee and delicious treats for humans and their canine companions.","Urban Hound Café is a perfect spot to relax with your dog. They offer a special 'doggy menu' with homemade biscuits and refreshing 'pupsicles'. The interior is spacious, with water bowls available at every table and comfortable seating for owners. The staff are all dog lovers and are happy to provide belly rubs. The café is open year-round, but it's especially nice to sit on their outdoor patio in spring and summer. The area is well-shaded, and the pavement is cool and safe for paws. It's a great place to meet other dog owners.","5","Dogs must be on a leash at all times. Please keep your dog from barking excessively. Do not feed your dog from the human menu.","http://www.urbanhoundcafe.com","+49 30 87654321","info@urbanhoundcafe.com","$$","Mon-Fri: 08:00-18:00, Sat-Sun: 09:00-17:00","4.6","Verified Business","[""Outdoor Seating"", ""Dog Menu"", ""Water Bowls"", ""Indoor Seating"", ""Free Wi-Fi"", ""Treats Available"", ""Shaded Patio""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""pet food"", ""patio""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Hundepark am Tiergarten,park_onleash_area,Berlin,Germany,52.5144,13.3643,"A tranquil on-leash park in the heart of Berlin, perfect for a peaceful stroll with your dog.","Located within the vast Tiergarten, this designated on-leash area offers well-maintained paths and plenty of green space. It's ideal for a calm walk, allowing dogs to enjoy the smells and sights of nature without the risk of running off. The terrain is a mix of paved paths and grassy areas. There are several shady spots under large trees, which are great for taking a break. A public drinking fountain with a dog bowl attachment is located near the entrance. It's a popular spot in the afternoons for a relaxing walk.","4","Dogs must remain on a leash at all times. Poop bags are required. Please respect other park visitors.","http://www.hundeparktiergarten.de","+49 30 23456789","contact@hundeparktiergarten.de","free","Mon-Sun: 24/7","4.3","City Park Guide","[""Paved Paths"", ""Shade Trees"", ""Benches"", ""Dog Waste Stations"", ""Drinking Fountain"", ""Restroom""]","[""on-leash"", ""park"", ""stroll"", ""central Berlin"", ""Tiergarten"", ""green space""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Doggie Diner,restaurant_dog_friendly,Berlin,Germany,52.5029,13.4301,"A lively restaurant with a spacious outdoor patio, welcoming well-behaved dogs.","Doggie Diner offers a relaxed dining experience where your dog can join you. They have a large, well-shaded outdoor patio with ample space between tables, so dogs can sit comfortably. Water bowls are provided upon arrival, and the staff are happy to accommodate special requests for your canine companion. The restaurant's policy is that dogs must stay on a leash and remain calm. The best time to visit is during off-peak hours to ensure a quiet spot. The patio is partially covered, offering protection from light rain or intense sun.","4","Dogs must be leashed at all times. They must not be on furniture or near the kitchen entrance. Excessive barking is not permitted.","http://www.doggiedinerberlin.com","+49 30 98765432","reservations@doggiediner.com","$$$","Mon-Sat: 11:00-22:00, Sun: 12:00-21:00","4.1","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Shaded Patio"", ""Reservations"", ""Family-friendly""]","[""restaurant"", ""patio"", ""dog friendly"", ""dining"", ""dinner"", ""lunch""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
The Bark & Barrel,brewery_dog_friendly,Berlin,Germany,52.5401,13.4567,"A unique brewery that loves dogs as much as craft beer, with a lively beer garden.","The Bark & Barrel is the perfect place to enjoy a cold brew with your best friend. Their expansive beer garden is completely dog-friendly, with plenty of room for dogs to relax. The brewery provides large water troughs and even has a special 'Hoppy Hound' non-alcoholic beer for dogs. The ground is a mix of gravel and grass, so watch for hot pavement on sunny days. It's a casual and friendly atmosphere. The brewery is popular in the evenings, so visiting in the afternoon is best for a more relaxed vibe. The staff are very welcoming to dogs and their owners.","5","Dogs must be on a leash. No aggressive behavior. Owners must clean up after their dogs immediately.","http://www.barkandbarrel.de","+49 30 34567890","contact@barkandbarrel.de","$$","Wed-Fri: 16:00-23:00, Sat-Sun: 12:00-23:00","4.5","Verified Business","[""Outdoor Seating"", ""Beer Garden"", ""Water Bowls"", ""Non-alcoholic Dog Beer"", ""Snacks""]","[""brewery"", ""beer garden"", ""dog friendly"", ""craft beer"", ""outdoor""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Petcare Berlin,vet_clinic,Berlin,Germany,52.5085,13.4143,"A modern veterinary clinic offering comprehensive health services for dogs and other pets.","Petcare Berlin is a state-of-the-art veterinary clinic dedicated to the well-being of your dog. They offer a full range of services, from routine check-ups and vaccinations to emergency care and surgical procedures. The clinic has a separate waiting area for cats and dogs to minimize stress. The staff are highly trained and compassionate, ensuring your pet feels safe and comfortable. The clinic is well-equipped with the latest technology for diagnostics and treatment. Appointments are highly recommended to reduce wait times. They also offer nutritional advice and behavioral consultations.","5,"Dogs must be on a leash at all times. Aggressive or sick dogs should be contained in a carrier or muzzled as directed by staff.","http://www.petcareberlin.de","+49 30 54321098","info@petcareberlin.de","$$$$","Mon-Fri: 09:00-18:00, Sat: 09:00-13:00","4.8","Verified Business","[""Emergency Services"", ""Surgery"", ""Vaccinations"", ""Dental Care"", ""X-ray"", ""Ultrasound"", ""Pharmacy""]","[""vet"", ""veterinarian"", ""clinic"", ""health"", ""animal care"", ""emergency""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Fluffy Friends Grooming,grooming_salon,Berlin,Germany,52.5312,13.3857,"A professional grooming salon offering a variety of services to keep your dog looking and feeling great.","Fluffy Friends Grooming specializes in a range of services from simple washes to breed-specific cuts. The salon uses only high-quality, hypoallergenic products to ensure the best care for your dog's skin and coat. The staff are trained to handle all temperaments, making the grooming experience as stress-free as possible. They have a calm and clean environment, and appointments are required. The salon also offers a de-shedding treatment and nail trimming. You can drop off your dog and pick them up later, making it convenient. They take great care in their work.","5,"All dogs must have current vaccinations. Please arrive on time for your appointment. If your dog has a history of aggression, please inform the staff beforehand.","http://www.fluffyfriendsberlin.com","+49 30 90123456","grooming@fluffyfriendsberlin.com","$$$","Tue-Sat: 10:00-18:00","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Teeth Brushing"", ""Deodorizing"", ""Ear Cleaning""]","[""grooming"", ""salon"", ""dog wash"", ""haircut"", ""pampering"", ""pet care""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Happy Paws Daycare,doggy_daycare,Berlin,Germany,52.5489,13.4321,"A supervised doggy daycare providing a safe and fun environment for dogs to socialize and play.","Happy Paws Daycare offers a secure and stimulating environment for dogs while their owners are away. The facility features both an indoor play area and a spacious outdoor yard with artificial turf, ensuring a clean and safe place to run. All dogs are supervised by trained staff to ensure positive interactions. The daycare requires a preliminary temperament test to ensure all dogs are well-behaved. They offer half-day and full-day options. You can view live webcams to check in on your dog's fun. The staff are incredibly attentive and friendly.","5,"Dogs must be spayed or neutered after 6 months of age. All vaccinations must be up to date. A temperament evaluation is required prior to enrollment.","http://www.happypawsberlin.de","+49 30 67890123","contact@happypawsberlin.de","$$$","Mon-Fri: 07:00-19:00","4.7","Verified Business","[""Indoor Play Area"", ""Outdoor Yard"", ""Supervised Play"", ""Webcam Access"", ""Napping Areas"", ""Snacks""]","[""daycare"", ""doggy"", ""play"", ""socialize"", ""pet sitting"", ""supervision""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Dog Trainers,dog_training,Berlin,Germany,52.5181,13.3510,"Offering professional dog training classes, from basic obedience to advanced behavior modification.","Berlin Dog Trainers provides a wide range of training services to help you build a strong bond with your dog. They use positive reinforcement techniques in their classes and one-on-one sessions. The facility has an indoor training hall and an outdoor fenced area for different exercises. They offer puppy socialization classes, basic obedience, and specialty classes like agility and trick training. The trainers are certified and have years of experience. The classes are small to ensure personalized attention. They also offer in-home consultations for specific behavioral issues.","5,"All dogs must be up to date on vaccinations. You must register for classes in advance. Dogs with aggression issues may require a private consultation first.","http://www.berlindogtrainers.de","+49 30 78901234","info@berlindogtrainers.de","$$$$","Class schedules vary, check website for details","4.8","Verified Business","[""Puppy Classes"", ""Obedience Training"", ""Agility Classes"", ""Private Sessions"", ""Fenced Area"", ""Indoor Facility""]","[""dog training"", ""obedience"", ""puppy class"", ""behavior"", ""agility"", ""trainer""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Hotel Wuff,hotel_pet_friendly,Berlin,Germany,52.5100,13.4111,"A luxury hotel that goes above and beyond to make dogs and their owners feel welcome.","Hotel Wuff is a premier pet-friendly hotel in Berlin. They offer special 'dog suites' with a comfortable dog bed, food and water bowls, and a welcome treat. Upon check-in, you'll receive a guide to nearby dog-friendly parks and restaurants. The hotel has a dedicated concierge for pet needs. Dogs are welcome in certain common areas and are allowed to stay in the rooms unaccompanied for short periods. There's a small courtyard for quick bathroom breaks. A surcharge for pets applies per night. The staff are all trained to be pet-friendly.","4,"A pet surcharge applies. Dogs must be leashed in all public areas. Owners are liable for any damages caused by their pet. Maximum of two dogs per room.","http://www.hotelwuffberlin.de","+49 30 45678901","reservations@hotelwuff.de","$$$$$","Mon-Sun: 24/7","4.5","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Welcome Treat"", ""Pet Concierge"", ""Courtyard"", ""Nearby Park Guide""]","[""hotel"", ""pet friendly"", ""luxury"", ""accommodations"", ""travel"", ""dog suite""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Pankow Paws Off-Leash,park_offleash_area,Berlin,Germany,52.5691,13.4078,"A large, fenced dog park in Pankow with separate areas for small and large dogs.","This well-maintained dog park in Pankow is a great spot for dogs to socialize and run free. It features two separate, fenced areas: one for smaller dogs and one for larger ones, ensuring a safe play environment for all. The park has a mix of grass and wood chips for comfortable running. There are a few benches and shade trees, but it can get busy. Water fountains for dogs are available, and waste bag dispensers are always stocked. It's a very popular spot on weekends, so if you prefer a quieter experience, go on a weekday morning.","5,"Dogs must be supervised at all times. Use the appropriate enclosure for your dog's size. Clean up after your pet immediately.","http://www.pankowpaws.de","+49 30 21098765","info@pankowpaws.de","free","Mon-Sun: 07:00-21:00","4.6","City Park Guide","[""Fenced Area"", ""Separate Small/Large Dog Areas"", ""Water Fountain"", ""Benches"", ""Waste Bags"", ""Wood Chip Ground""]","[""off-leash"", ""dog park"", ""Pankow"", ""fenced"", ""social"", ""play""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Friedrichshain Dog Trail,trail_walking,Berlin,Germany,52.5152,13.4316,"A peaceful walking trail through Friedrichshain Park, perfect for a long, on-leash walk.","The Friedrichshain Dog Trail is a dedicated route through Volkspark Friedrichshain, ideal for a peaceful walk with your leashed dog. The trail is well-maintained, with a mix of gravel and dirt paths. The area is heavily shaded by mature trees, providing excellent relief from the sun in summer. There are several benches along the way for breaks, and public restrooms are available. The trail offers beautiful scenery and a quiet escape from the city noise. Water fountains are not common, so it's best to bring your own water for your dog. It's a popular spot for morning jogs.","4,"Dogs must be on a leash at all times. Owners are responsible for cleaning up waste. Stay on marked paths to protect the park's flora.","http://www.friedrichshaindogtrail.de","+49 30 89012345","info@friedrichshaindogtrail.de","free","Mon-Sun: 24/7","4.2","City Park Guide","[""Paved Paths"", ""Shade Trees"", ""Benches"", ""Waste Stations"", ""Scenic Views""]","[""on-leash"", ""trail"", ""walking"", ""park"", ""Friedrichshain"", ""scenic""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Barkhaus Brewpub,brewery_dog_friendly,Berlin,Germany,52.5081,13.3989,"A cozy brewpub with a laid-back vibe and a small, inviting patio where dogs are welcome.","Barkhaus Brewpub is a small, friendly spot where you can enjoy local craft beer with your dog. The outdoor patio is dog-friendly, offering water bowls and a quiet space for your pup to relax. The staff are very accommodating and often bring out treats for canine guests. The patio is surrounded by planters, providing a sense of privacy. The best time to visit is during happy hour, when it's still not too crowded. The ground is a mix of pavers and gravel. Dogs must be on a leash and well-behaved.","4,"Dogs must be on a leash at all times. Keep your dog from barking excessively. Be mindful of other patrons.","http://www.barkhaus.de","+49 30 11223344","hello@barkhaus.de","$$","Mon-Fri: 16:00-22:00, Sat-Sun: 13:00-23:00","4.0","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Craft Beer"", ""Happy Hour"", ""Patio""]","[""brewpub"", ""dog friendly"", ""craft beer"", ""patio"", ""bar""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Dog's Paradise Pet Store,pet_store,Berlin,Germany,52.5412,13.4111,"A comprehensive pet store with a wide selection of food, toys, and supplies for dogs.","Dog's Paradise Pet Store is your one-stop shop for all your canine needs. They carry a large variety of high-quality dog foods, including natural and raw options. The store is well-organized and has a friendly, knowledgeable staff who can help you find the right products for your pet. They also have a large selection of durable toys, comfortable beds, and stylish accessories. The store is very dog-friendly, and they even have a treat bar where you can purchase bulk treats. They occasionally host adoption events and workshops.","5,"All dogs must be on a leash. Please be mindful of other customers and their pets. If your dog has an accident, please alert a staff member.","http://www.dogsparadise.de","+49 30 55667788","sales@dogsparadise.de","$$","Mon-Sat: 10:00-19:00","4.7","Verified Business","[""Pet Food"", ""Toys"", ""Leashes & Collars"", ""Treats"", ""Beds"", ""Training Supplies"", ""Grooming Products""]","[""pet store"", ""supplies"", ""food"", ""toys"", ""shopping"", ""pet shop""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
Berlin Bark & Beach,lake_dog_friendly,Berlin,Germany,52.5408,13.4981,"A designated dog-friendly section of a lake, perfect for a summer swim with your pup.","Berlin Bark & Beach offers a refreshing escape for dogs and owners on a hot day. This section of the lake is officially designated for dogs, with a small sandy shore and shallow entry into the water. It's a great place for dogs to cool off, play fetch, and socialize. There are no lifeguards, so keep a close eye on your dog. The terrain is sandy near the water, transitioning to grass. It's very popular on warm weekends. The best time to visit is early morning to avoid the biggest crowds. Remember to bring a towel and fresh water.","5,"Dogs must be on a leash until they reach the designated dog area. Clean up after your pet. No aggressive behavior is permitted.","http://www.berlinbarkandbeach.de","+49 30 99887766","info@berlinbarkandbeach.de","free","Seasonal: May-Sep, 08:00-20:00","4.4","City Park Guide","[""Water Access"", ""Sandy Beach"", ""Swimming"", ""Open Area"", ""Shade Trees""]","[""lake"", ""beach"", ""swimming"", ""dog friendly"", ""water fun"", ""summer""]","[""https://images.unsplash.com/photo-1582294101140-023c72e3a105"", ""https://images.pexels.com/photos/4034509/pexels-photo-4034509.jpeg"", ""https://images.unsplash.com/photo-1579549303254-44b47c037947""]"
