city,category,name,address,website,photo_url,description,why_in_atlas
Paris,Urban Park,Bois de Boulogne (Lakes & Allées),"Route de Suresnes, 75016 Paris",https://www.paris.fr/lieux/bois-de-boulogne-1807,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bois_de_Boulogne_Lac_Sup%C3%A9rieur.jpg,"Vast western park with lakes, wooded allées and long gravel paths. Leashed dogs are welcome through much of the park; plan loops around Lac Supérieur and Lac Inférieur for water views. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",The city’s classic big‑park escape—easy to customize for distance and shade.
Paris,Urban Park,Bois de Vincennes (Lac Daumesnil),"Route de la Pyramide, 75012 Paris",https://www.paris.fr/lieux/bois-de-vincennes-1825,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lac_Daumesnil_-_Paris.jpg,"Eastern counterpart to Boulogne with broad meadows, four lakes and island bridges. Leashed dogs are common on perimeter paths—check signs for no‑dog zones and nesting areas. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Huge variety of scenery with good public‑transport access.
Paris,City Park,Parc des Buttes‑Chaumont,"1 Rue Botzaris, 75019 Paris",https://www.paris.fr/lieux/parc-des-buttes-chaumont-1817,https://upload.wikimedia.org/wikipedia/commons/7/71/Paris_19e_Parc_des_Buttes-Chaumont_001.jpg,"Romantic, hilly park with a lake, grotto and temple viewpoint; winding paths offer natural shade. Dogs are welcome on leash; choose quieter hours to avoid crowds on narrow paths. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",A cinematic walk that feels far from the city without leaving it.
Paris,City Park,Parc Montsouris,"2 Rue Gazan, 75014 Paris",https://www.paris.fr/lieux/parc-montsouris-1815,https://upload.wikimedia.org/wikipedia/commons/3/39/Parc_Montsouris%2C_Paris_14e_002.jpg,"Large English‑style park in the south with rolling lawns, a lake and plenty of benches for water breaks. Leashed dogs are fine on main paths—respect posted lawn rules. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Gentle gradients and generous shade—ideal for senior dogs.
Paris,Promenade / Greenway,Coulée Verte René‑Dumont (Promenade Plantée),"1 Coulée Verte René‑Dumont, 75012 Paris",https://www.paris.fr/lieux/la-coulee-verte-rene-dumont-6003,https://upload.wikimedia.org/wikipedia/commons/d/d9/Promenade_Plant%C3%A9e.jpg,"An elevated linear park on a former railway viaduct with treetop views and pocket gardens. Leashed dogs can enjoy varied textures and city outlooks; avoid peak times. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Unique urban design walk connecting to Allée Vivaldi and Viaduc des Arts.
Paris,River Walk,Berges de Seine (Rive Droite & Gauche),"Quais de la Seine, central Paris",https://www.paris.fr/pages/les-berges-de-seine-2082,https://upload.wikimedia.org/wikipedia/commons/0/05/Paris_-_Berges_de_Seine.jpg,"Pedestrianized riverbanks with long, flat promenades perfect for steady leash walks and people‑watching. Bring a mat for café stops on the quais. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Iconic city scenery that’s easy on paws and logistics.
Paris,Canal Walk,Canal Saint‑Martin Promenade,"Quai de Jemmapes / Quai de Valmy, 75010 Paris",https://www.paris.fr/pages/les-canaux-de-paris-247,https://upload.wikimedia.org/wikipedia/commons/a/a4/Canal_Saint-Martin_Paris_2008.jpg,"Leafy canal‑side towpaths with iron footbridges and waterside cafés; great for unhurried loops. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.","Relaxed, photogenic walking with frequent shade and benches."
Paris,City Park,Parc Monceau,"35 Boulevard de Courcelles, 75008 Paris",https://www.paris.fr/lieux/parc-monceau-1812,https://upload.wikimedia.org/wikipedia/commons/2/28/Parc_Monceau_2009.jpg,"Elegant oval park ringed by mansions; flat gravel paths suit quick morning laps with your dog. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.","Refined, central and easy to fit into a busy schedule."
Paris,River Island Park,Parc Rives de Seine – Île aux Cygnes Access,"Allée des Cygnes, 75015 Paris",https://www.paris.fr/pages/les-berges-de-seine-2082,https://upload.wikimedia.org/wikipedia/commons/1/1f/All%C3%A9e_des_Cygnes_Paris_2010.jpg,"A narrow, leafy island path between the Eiffel Tower and the Statue of Liberty replica; flat and breezy. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Short but special—great golden‑hour stroll with skyline icons.
Paris,Garden / View,Parc de Belleville,"47 Rue des Couronnes, 75020 Paris",https://www.paris.fr/lieux/parc-de-belleville-1790,https://upload.wikimedia.org/wikipedia/commons/a/a5/Parc_de_Belleville_Paris.jpg,"Terraced garden on a hillside with big east‑Paris views; pocket lawns and pergolas offer shade for breaks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",Neighborhood gem with panorama payoff.
