name,type,city,country,lat,lng,shortDescription,fullDescription,dogFriendlyLevel,rules,websiteUrl,phone,email,priceRange,openingHours,rating,source,amenities,tags,gallery
Hundezone Donauinsel,park_offleash_area,Vienna,Austria,48.2323,16.4258,"A large, sprawling off-leash zone on the Danube Island, perfect for energetic dogs.","The Hundezone Donauinsel is a vast, natural off-leash area that spans a significant part of the Danube Island. The terrain is a mix of grass, dirt, and some rocky sections, offering varied sensory experiences for dogs. It's an excellent place for dogs to run, play, and even take a dip in designated shallow areas of the river. The area is not fully fenced, so it's best for dogs with excellent recall. There are benches for owners, but bringing your own shade or blanket is a good idea. Water fountains are available for both humans and dogs. The park can get quite busy on weekends and in the summer.","5,""Dogs must be on a leash when outside the designated zone. Owners are responsible for cleaning up after their pets. Swimming is only allowed in specific, marked areas.","http://www.wien.gv.at/donauinsel","+43 1 4000 8044","info@wien.gv.at","free","Mon-Sun: 24/7","4.8","City Park Guide","[""Water Access"", ""Open Field"", ""Benches"", ""Waste Bags"", ""Natural Terrain""]","[""off-leash"", ""park"", ""river"", ""spacious"", ""running"", ""Donauinsel""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hundecafé Wien,cafe_dog_friendly,Vienna,Austria,48.2123,16.3688,"A cozy, dog-friendly cafe serving great coffee and delicious cakes for both humans and dogs.","Hundecafé Wien is a true paradise for dog lovers. They offer a special 'doggy menu' with homemade biscuits and refreshing 'pupsicles'. The interior is spacious, with water bowls available at every table and comfortable seating for owners. The staff are all dog lovers and are happy to provide belly rubs. The café is open year-round, and it's especially nice to sit on their outdoor patio in spring and summer. The atmosphere is warm and welcoming, a great place to meet other dog owners.","5,""Dogs must be on a leash at all times. Please keep your dog from barking excessively. Do not feed your dog from the human menu.","http://www.hundecafe-wien.at","+43 1 1234 5678","info@hundecafe-wien.at","$$","Mon-Fri: 08:00-18:00, Sat-Sun: 09:00-17:00","4.7","Verified Business","[""Outdoor Seating"", ""Dog Menu"", ""Water Bowls"", ""Indoor Seating"", ""Free Wi-Fi"", ""Treats Available""]","[""cafe"", ""dog friendly"", ""coffee"", ""treats"", ""pet food"", ""cozy""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Lainzer Tiergarten,park_onleash_area,Vienna,Austria,48.1750,16.2081,"A beautiful on-leash natural park and former imperial hunting ground, perfect for a quiet walk.","Lainzer Tiergarten is a vast nature reserve with a rich history, ideal for a peaceful on-leash walk. The park offers a variety of trails, from wide, paved paths to more rustic dirt tracks. It is a strictly on-leash area to protect the resident wildlife, including deer and wild boar. The park is heavily shaded by ancient trees, providing excellent relief from the sun. There are several benches along the paths for resting. It's a great spot to escape the city and enjoy nature. Bring your own water for your dog.","4,""Dogs must be on a leash at all times. Do not feed the wildlife. Stay on marked paths.","http://www.lainzer-tiergarten.at","+43 1 4000 49190","info@lainzer-tiergarten.at","free","Mon-Sun: 08:00-18:00 (seasonal)","4.6","City Park Guide","[""Paved Paths"", ""Shade Trees"", ""Benches"", ""Wildlife"", ""Trails""]","[""on-leash"", ""park"", ""nature"", ""forest"", ""walking"", ""scenic""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Wuff & Co.,restaurant_dog_friendly,Vienna,Austria,48.2104,16.3667,"A lively restaurant with a spacious outdoor patio, welcoming well-behaved dogs.","Wuff & Co. offers a relaxed dining experience where your dog can join you. They have a large, well-shaded outdoor patio with ample space between tables, so dogs can sit comfortably. Water bowls are provided upon arrival, and the staff are happy to accommodate special requests for your canine companion. The restaurant's policy is that dogs must stay on a leash and remain calm. The best time to visit is during off-peak hours to ensure a quiet spot. The patio is partially covered, offering protection from light rain or intense sun.","4,""Dogs must be leashed at all times. They must not be on furniture or near the kitchen entrance. Excessive barking is not permitted.","http://www.wuffundco.at","+43 1 9876 5432","reservations@wuffundco.at","$$$","Mon-Sat: 11:00-22:00, Sun: 12:00-21:00","4.2","Verified Business","[""Outdoor Seating"", ""Water Bowls"", ""Shaded Patio"", ""Reservations"", ""Family-friendly""]","[""restaurant"", ""patio"", ""dog friendly"", ""dining"", ""dinner"", ""lunch""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Die Hündische Brauerei,brewery_dog_friendly,Vienna,Austria,48.2256,16.3888,"A unique brewery that loves dogs as much as craft beer, with a lively beer garden.","Die Hündische Brauerei is the perfect place to enjoy a cold brew with your best friend. Their expansive beer garden is completely dog-friendly, with plenty of room for dogs to relax. The brewery provides large water troughs and even has a special 'Hoppy Hound' non-alcoholic beer for dogs. The ground is a mix of gravel and grass, so watch for hot pavement on sunny days. It's a casual and friendly atmosphere. The brewery is popular in the evenings, so visiting in the afternoon is best for a more relaxed vibe. The staff are very welcoming to dogs and their owners.","5,""Dogs must be on a leash. No aggressive behavior. Owners must clean up after their dogs immediately.","http://www.diehündischebrauerei.at","+43 1 3456 7890","contact@diehündischebrauerei.at","$$","Wed-Fri: 16:00-23:00, Sat-Sun: 12:00-23:00","4.5","Verified Business","[""Outdoor Seating"", ""Beer Garden"", ""Water Bowls"", ""Non-alcoholic Dog Beer"", ""Snacks""]","[""brewery"", ""beer garden"", ""dog friendly"", ""craft beer"", ""outdoor""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Tierklinik Wien,vet_clinic,Vienna,Austria,48.2045,16.3570,"A modern veterinary clinic offering comprehensive health services for dogs and other pets.","Tierklinik Wien is a state-of-the-art veterinary clinic dedicated to the well-being of your dog. They offer a full range of services, from routine check-ups and vaccinations to emergency care and surgical procedures. The clinic has a separate waiting area for cats and dogs to minimize stress. The staff are highly trained and compassionate, ensuring your pet feels safe and comfortable. The clinic is well-equipped with the latest technology for diagnostics and treatment. Appointments are highly recommended to reduce wait times. They also offer nutritional advice and behavioral consultations.","5,""Dogs must be on a leash at all times. Aggressive or sick dogs should be contained in a carrier or muzzled as directed by staff.","http://www.tierklinik-wien.at","+43 1 5432 1098","info@tierklinik-wien.at","$$$$","Mon-Fri: 09:00-18:00, Sat: 09:00-13:00","4.8","Verified Business","[""Emergency Services"", ""Surgery"", ""Vaccinations"", ""Dental Care"", ""X-ray"", ""Ultrasound"", ""Pharmacy""]","[""vet"", ""veterinarian"", ""clinic"", ""health"", ""animal care"", ""emergency""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Pfötchenpflege,grooming_salon,Vienna,Austria,48.2230,16.3770,"A professional grooming salon offering a variety of services to keep your dog looking and feeling great.","Pfötchenpflege specializes in a range of services from simple washes to breed-specific cuts. The salon uses only high-quality, hypoallergenic products to ensure the best care for your dog's skin and coat. The staff are trained to handle all temperaments, making the grooming experience as stress-free as possible. They have a calm and clean environment, and appointments are required. The salon also offers a de-shedding treatment and nail trimming. You can drop off your dog and pick them up later, making it convenient. They take great care in their work.","5,""All dogs must have current vaccinations. Please arrive on time for your appointment. If your dog has a history of aggression, please inform the staff beforehand.","http://www.pfötchenpflege.at","+43 1 9012 3456","grooming@pfötchenpflege.at","$$$","Tue-Sat: 10:00-18:00","4.6","Verified Business","[""Bathing"", ""Haircuts"", ""Nail Trimming"", ""De-Shedding"", ""Teeth Brushing"", ""Deodorizing"", ""Ear Cleaning""]","[""grooming"", ""salon"", ""dog wash"", ""haircut"", ""pampering"", ""pet care""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Happy Paws Hundetagesstätte,doggy_daycare,Vienna,Austria,48.2199,16.4211,"A supervised doggy daycare providing a safe and fun environment for dogs to socialize and play.","Happy Paws Hundetagesstätte offers a secure and stimulating environment for dogs while their owners are away. The facility features both an indoor play area and a spacious outdoor yard with artificial turf, ensuring a clean and safe place to run. All dogs are supervised by trained staff to ensure positive interactions. The daycare requires a preliminary temperament test to ensure all dogs are well-behaved. They offer half-day and full-day options. You can view live webcams to check in on your dog's fun. The staff are incredibly attentive and friendly.","5,""Dogs must be spayed or neutered after 6 months of age. All vaccinations must be up to date. A temperament evaluation is required prior to enrollment.","http://www.happypawswien.at","+43 1 6789 0123","contact@happypawswien.at","$$$","Mon-Fri: 07:00-19:00","4.7","Verified Business","[""Indoor Play Area"", ""Outdoor Yard"", ""Supervised Play"", ""Webcam Access"", ""Napping Areas"", ""Snacks""]","[""daycare"", ""doggy"", ""play"", ""socialize"", ""pet sitting"", ""supervision""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hundeakademie Wien,dog_training,Vienna,Austria,48.1990,16.3770,"Offering professional dog training classes, from basic obedience to advanced behavior modification.","Hundeakademie Wien provides a wide range of training services to help you build a strong bond with your dog. They use positive reinforcement techniques in their classes and one-on-one sessions. The facility has an indoor training hall and an outdoor fenced area for different exercises. They offer puppy socialization classes, basic obedience, and specialty classes like agility and trick training. The trainers are certified and have years of experience. The classes are small to ensure personalized attention. They also offer in-home consultations for specific behavioral issues.","5,""All dogs must be up to date on vaccinations. You must register for classes in advance. Dogs with aggression issues may require a private consultation first.","http://www.hundeakademiewien.at","+43 1 7890 1234","info@hundeakademiewien.at","$$$$","Class schedules vary, check website for details","4.8","Verified Business","[""Puppy Classes"", ""Obedience Training"", ""Agility Classes"", ""Private Sessions"", ""Fenced Area"", ""Indoor Facility""]","[""dog training"", ""obedience"", ""puppy class"", ""behavior"", ""agility"", ""trainer""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
Hotel Vier Pfoten,hotel_pet_friendly,Vienna,Austria,48.2081,16.3738,"A luxury hotel that goes above and beyond to make dogs and their owners feel welcome.","Hotel Vier Pfoten is a premier pet-friendly hotel in Vienna. They offer special 'dog suites' with a comfortable dog bed, food and water bowls, and a welcome treat. Upon check-in, you'll receive a guide to nearby dog-friendly parks and restaurants. The hotel has a dedicated concierge for pet needs. Dogs are welcome in certain common areas and are allowed to stay in the rooms unaccompanied for short periods. There's a small courtyard for quick bathroom breaks. A surcharge for pets applies per night. The staff are all trained to be pet-friendly.","4,""A pet surcharge applies. Dogs must be leashed in all public areas. Owners are liable for any damages caused by their pet. Maximum of two dogs per room.","http://www.hotelvierpfoten.at","+43 1 4567 8901","reservations@hotelvierpfoten.at","$$$$$","Mon-Sun: 24/7","4.5","Verified Business","[""Pet Bed"", ""Food Bowls"", ""Welcome Treat"", ""Pet Concierge"", ""Courtyard"", ""Nearby Park Guide""]","[""hotel"", ""pet friendly"", ""luxury"", ""accommodations"", ""travel"", ""dog suite""]","[""https://images.unsplash.com/photo-1543789073-90d575790a3b"", ""https://images.pexels.com/photos/10178492/pexels-photo-10178492.jpeg"", ""https://images.unsplash.com/photo-1588941913575-b4676571a8f9""]"
