id,name,type,city,region,country,latitude,longitude,short_description,full_description,image_url,gallery_urls,dog_friendly_level,amenities,rules,website_url,contact_phone,contact_email,price_range,opening_hours,rating,tags
f6abf280-4701-502a-b9ca-127b9638ce94,Playa de Llevant – Dog Beach,beach,Barcelona,Sant Martí,08019 Barcelona,,,,"Playa de Llevant is Barcelona’s designated summer dog beach, open with seasonal hours and lifeguards. The section is fenced, with shaded umbrellas and dog showers for rinsing off salt water. Dogs can run leash-free within the designated zone, while owners relax on the sand or in nearby beach bars. Waste bags and water are provided by the city council.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
f4ecfc8c-cf3f-519b-9c28-0b3cd852e825,Parc de la Ciutadella,park,Barcelona,,08003 Barcelona,,,,"Parc de la Ciutadella is Barcelona’s central green lung, filled with wide boulevards, lakes, statues, and the city zoo at its edge. Dogs are allowed throughout the park, with large lawns perfect for picnics and games of fetch. Shady trees provide relief in summer, and fountains and kiosks supply water. The atmosphere is lively and social, making it one of the best places to meet fellow dog owners.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
f9829493-bc62-5722-9b49-2efac0dd0912,Hospital Veterinari Glòries,vet / emergency 24h,Barcelona,,08013 Barcelona,,,,"Hospital Veterinari Glòries is a 24-hour emergency veterinary hospital located near the Glòries district. It has modern diagnostic equipment, surgical theatres, hospitalization, and an ICU. The staff specialize in both small pets and exotic animals, and the hospital is known for its quick response times and compassionate care. It is easily accessible by car and public transport.",,,,,,https://hospitalveterinariglores.com/,,,,,,
f132e72b-b008-5972-a5db-896d76a99de0,Parc Natural de la Serra de Collserola (Carretera de les Aigües),natural park / trail,Barcelona,Avinguda dels Països Catalans,08950 Esplugues (multiple trailheads),,,,"Barcelona’s backyard mountain park with endless dog‑friendly trails and city‑to‑sea views. The Carretera de les Aigües is a wide, mostly flat balcony path perfect for long, steady walks and runs with leashed dogs. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://parcnaturalcollserola.cat/,,,,,,
f2ea6112-7abc-54b3-a964-00f3a4bb8bba,Montjuïc Park (Castell & Gardens),hill park / trail,Barcelona,,08038 Barcelona,,,,"A network of gardens, viewpoints and cultural sites connected by broad paths and stairs. Leashed dogs can explore shady routes between the castle, cactus garden and Olympic areas. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
42cb1bba-2619-502f-9e79-18f80e550c63,Parc del Guinardó,neighborhood park,Barcelona,,08041 Barcelona,,,,"Terraced paths, pine shade and city outlooks; quieter than the big tourist parks. Great for sniffy, unhurried loops after work. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
d64d34f8-f6f5-54b6-a34d-69a11628fb9f,Turó del Putxet Gardens,park / viewpoint,Barcelona,,08023 Barcelona,,,,"A hilltop oasis with winding stair paths and lookout spots; plenty of benches in shade for water breaks. Compact but vertical—good for quick cardio with your dog. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
0552b7f3-6d1b-5ac7-a8c6-d9d38c144954,Parc de la Creueta del Coll,park / lake (seasonal),Barcelona,,08023 Barcelona,,,,"A quarry turned park with a shallow lake (seasonal) and expansive plaza; shady perimeters are great for calm laps. Leash up and enjoy the cool microclimate in summer. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
a81fb0ba-7ab3-579d-b7e3-5d1d17a72511,Parc del Poblenou (Parc del Centre del Poblenou),seafront park,Barcelona,,08018 Barcelona,,,,"Contemporary design park near the beach with geometric gardens and long, straight paths for training heelwork. Usually breezy; good summer alternative to crowded sands. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
42c62585-8c56-5086-aa0f-8ceefc633cf9,Parc del Guinardó – Bunkers del Carmel Access,park / belvedere,Barcelona,C/ Marià Labèrnia,08032 Barcelona,,,,"Routes climb to expansive lookout points over the city; go early to avoid heat and crowds. Leashed dogs can tuck into pockets of shade at the top. Expect wide paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://ajuntament.barcelona.cat/,,,,,,
