id,name,type,city,region,country,latitude,longitude,short_description,full_description,image_url,gallery_urls,dog_friendly_level,amenities,rules,website_url,contact_phone,contact_email,price_range,opening_hours,rating,tags
69767a53-c46a-5201-962a-1cb21f481346,Tempelhofer Feld (former airport),park / airfield,Berlin,,12049 Berlin,,,,"A vast open space on a former airport runway where dogs can enjoy long, straight laps and wind‑in‑fur sprints. There are fenced dog runs on both the Neukölln and Tempelhof sides, plus miles of paved and grass routes for varied routines. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.tempelhofer-feld.de/,,,,,,
e11eb88f-06c3-5949-896b-b44030e08ebb,Großer Tiergarten,urban park,Berlin,,10557 Berlin,,,,"Berlin’s central green heart: leafy avenues, lakes, lawns and cafés woven between monuments. Leashed dogs can zigzag shaded paths and pause by the canals; it’s easy to stitch short or long loops together. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/sehenswuerdigkeiten/3560268-3558930-tiergarten-park.html,,,,,,
32f546d5-dcaf-52f8-9173-100962f40213,Grunewald & Grunewaldsee,forest / lake loop,Berlin,,14193 Berlin,,,,"Extensive forest crisscrossed by sandy trails around dog‑popular Grunewaldsee. Cool shade, soft footing and water access make it a year‑round favorite—watch for wildlife and follow posted rules. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3551309-3552098-grunewald.en.html,,,,,,
b9c0cf93-fd8f-5c3d-8f99-6d88676351fb,Schlachtensee Circuit,lake / trail,Berlin,,14129 Berlin,,,,"A scenic loop around a clear forest lake with numerous benches and swim spots (check seasonal dog rules). Gently undulating path is great for steady pace walks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560572-3552098-schlachtensee.en.html,,,,,,
aba37f43-bd23-53d3-b60e-e27ed0c4f00a,Krumme Lanke,lake / trail,Berlin,,14163 Berlin,,,,"Another forest‑rimmed lake just south of Schlachtensee, with quieter banks and sandy coves. Combine both lakes for a longer day out. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560548-3552098-krumme-lanke.en.html,,,,,,
bb13f309-c27f-5974-a4f2-8e0cb949f3cb,Tegeler See & Greenwichpromenade,lake / riverside,Berlin,,13507 Berlin,,,,"Waterside promenades with wide, flat paths, boat piers and breezy views. Nearby parks offer lawns for picnic breaks with leashed dogs. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560542-3552098-tegeler-see.en.html,,,,,,
be6dbf47-55fe-5f5c-b52f-00601045d157,Müggelsee (Nordufer & Müggelspree),lake / beach area,Berlin,,12587 Berlin,,,,"Berlin’s largest lake with long shoreline paths and breezy pine stands; some stretches allow dog access (observe signs). Great for all‑day outings combining forest and waterfront. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560439-3552098-mueggelsee.en.html,,,,,,
0468cd78-e39d-5bd1-ad03-53e6b0865c28,Volkspark Friedrichshain,urban park,Berlin,,10407 Berlin,,,,"Historic park with gently rolling paths, rose gardens and the fairy‑tale fountain; dog meadows nearby. Plenty of benches and kiosks for breaks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3551297-3552098-friedrichshain-park.en.html,,,,,,
0f55a966-5cb3-5c26-833e-9d7f31493302,Mauerpark & Falkplatz,urban park,Berlin,,10437 Berlin,,,,"Open lawns on the former death strip with markets and buskers on weekends. Great for socialized dogs that enjoy crowds—choose calmer hours if your pup prefers space. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560533-3552098-mauerpark.en.html,,,,,,
05ec8f9c-4df6-5449-ba5f-5ec4652d7f72,Görlitzer Park,urban park,Berlin,,10997 Berlin,,,,"Wide lawns, paths and playgrounds in Kreuzberg; good as a connector toward the Landwehrkanal promenades. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.berlin.de/en/parks-gardens/3560505-3552098-goerlitzer-park.en.html,,,,,,
