id,name,type,city,region,country,latitude,longitude,short_description,full_description,image_url,gallery_urls,dog_friendly_level,amenities,rules,website_url,contact_phone,contact_email,price_range,opening_hours,rating,tags
d3de149e-e853-50e9-b908-53c21464240f,Bois de Boulogne (Lakes & Allées),urban park,Paris,,75016 Paris,,,,"Vast western park with lakes, wooded allées and long gravel paths. Leashed dogs are welcome through much of the park; plan loops around Lac Supérieur and Lac Inférieur for water views. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/bois-de-boulogne-1807,,,,,,
9369d665-3176-573e-ae92-e37dd63e508e,Bois de Vincennes (Lac Daumesnil),urban park,Paris,,75012 Paris,,,,"Eastern counterpart to Boulogne with broad meadows, four lakes and island bridges. Leashed dogs are common on perimeter paths—check signs for no‑dog zones and nesting areas. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/bois-de-vincennes-1825,,,,,,
dfd6c098-ca92-560f-a0e8-da9d77bb55fa,Parc des Buttes‑Chaumont,city park,Paris,,75019 Paris,,,,"Romantic, hilly park with a lake, grotto and temple viewpoint; winding paths offer natural shade. Dogs are welcome on leash; choose quieter hours to avoid crowds on narrow paths. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/parc-des-buttes-chaumont-1817,,,,,,
306351b1-c2ff-57ca-8bc3-2a02d6bd7e98,Parc Montsouris,city park,Paris,,75014 Paris,,,,"Large English‑style park in the south with rolling lawns, a lake and plenty of benches for water breaks. Leashed dogs are fine on main paths—respect posted lawn rules. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/parc-montsouris-1815,,,,,,
7c507c9b-3d61-5af4-a880-66806b233f8d,Coulée Verte René‑Dumont (Promenade Plantée),promenade / greenway,Paris,,75012 Paris,,,,"An elevated linear park on a former railway viaduct with treetop views and pocket gardens. Leashed dogs can enjoy varied textures and city outlooks; avoid peak times. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/la-coulee-verte-rene-dumont-6003,,,,,,
489ea691-d98c-5e28-b20e-4b2b65bcf2fd,Berges de Seine (Rive Droite & Gauche),river walk,Paris,,central Paris,,,,"Pedestrianized riverbanks with long, flat promenades perfect for steady leash walks and people‑watching. Bring a mat for café stops on the quais. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/pages/les-berges-de-seine-2082,,,,,,
286d65cd-a04b-541d-8ccb-b98e49f6f2b0,Canal Saint‑Martin Promenade,canal walk,Paris,,75010 Paris,,,,"Leafy canal‑side towpaths with iron footbridges and waterside cafés; great for unhurried loops. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/pages/les-canaux-de-paris-247,,,,,,
5770a9da-a56e-591b-98c1-71619811371b,Parc Monceau,city park,Paris,,75008 Paris,,,,"Elegant oval park ringed by mansions; flat gravel paths suit quick morning laps with your dog. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/parc-monceau-1812,,,,,,
7cf7c9e3-6aa9-5b0d-9bc5-ff8fd6194cd9,Parc Rives de Seine – Île aux Cygnes Access,river island park,Paris,,75015 Paris,,,,"A narrow, leafy island path between the Eiffel Tower and the Statue of Liberty replica; flat and breezy. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/pages/les-berges-de-seine-2082,,,,,,
e4f345e3-35c7-5e4f-9010-9632714da5f9,Parc de Belleville,garden / view,Paris,,75020 Paris,,,,"Terraced garden on a hillside with big east‑Paris views; pocket lawns and pergolas offer shade for breaks. Expect broad paths and mixed terrain that’s kind to paws, with shade pockets and benches for water breaks. Go early or at golden hour in summer to avoid heat; bring a collapsible bowl and extra bags. Leash rules vary by area—check signage at each entrance and respect protected habitats.",,,,,,https://www.paris.fr/lieux/parc-de-belleville-1790,,,,,,
0b1cb714-48cb-5c66-b281-610529e87c9b,Coutume Café,cafe,Paris,,75007 Paris,,,,"Specialty‑coffee pioneer with calm, sunlit seating; outside tables suit polite, leashed dogs. Staff are used to well‑behaved dogs; outdoor tables are shaded and water bowls are usually available. Aim for off‑peak hours if your dog is still practicing calm café manners and bring a mat or chew to help them settle. Always keep your companion leashed and tucked under the table for everyone’s comfort.",,,,,,https://www.coutumecafe.com/,,,,,,
f1efe53c-7d0e-5ffc-9083-c94efb30d984,Du Pain et des Idées,café / bakery,Paris,,75010 Paris,,,,Beloved bakery famous for the ‘pain des amis’ and escargots; grab‑and‑go pastries and enjoy them canalside with your dog. Staff are used to well‑behaved dogs; outdoor tables are shaded and water bowls are usually available. Aim for off‑peak hours if your dog is still practicing calm café manners and bring a mat or chew to help them settle. Always keep your companion leashed and tucked under the table for everyone’s comfort.,,,,,,http://dupainetdesidees.com/,,,,,,
b016584a-0899-53d9-b910-1e5202b7a140,La Fontaine de Belleville,cafe,Paris,,75010 Paris,,,,"Classic café with terrace culture done right—bistro chairs, shade and staff used to four‑legged neighbors. Staff are used to well‑behaved dogs; outdoor tables are shaded and water bowls are usually available. Aim for off‑peak hours if your dog is still practicing calm café manners and bring a mat or chew to help them settle. Always keep your companion leashed and tucked under the table for everyone’s comfort.",,,,,,https://www.fontainebelleville.com/,,,,,,
bb39302b-f639-56bc-a5c1-70b3f7fd15b5,Marché des Enfants Rouges,market / food hall,Paris,,75003 Paris,,,,"Historic covered market with global food counters; best with dogs at quieter hours, then picnic in nearby Square du Temple. Staff are used to well‑behaved dogs; outdoor tables are shaded and water bowls are usually available. Aim for off‑peak hours if your dog is still practicing calm café manners and bring a mat or chew to help them settle. Always keep your companion leashed and tucked under the table for everyone’s comfort.",,,,,,https://www.paris.fr/lieux/marche-des-enfants-rouges-5373,,,,,,
01dc4fd8-0aae-5570-9fcb-2886df44a044,Le Bristol Paris,hotel,Paris,,75008 Paris,,,,"Palace‑level service with pet‑friendly rooms; concierge can suggest discreet walking routes to Parc Monceau. Check size limits and fees before booking, and ask about bowls, beds or welcome treats. Nearby green pockets make early‑morning potty breaks easy; keep wipes and extra bags in your daypack. Quiet, interior rooms are usually best for sound‑sensitive dogs.",,,,,,https://www.oetkercollection.com/hotels/le-bristol-paris/,,,,,,
88f2ef2c-385a-5c32-a366-26f319faba1d,Hôtel des Grands Boulevards,hotel,Paris,,75002 Paris,,,,"Romantic‑meets‑retro hotel with leafy courtyard; clear pet policy and easy access to covered passages on rainy days. Check size limits and fees before booking, and ask about bowls, beds or welcome treats. Nearby green pockets make early‑morning potty breaks easy; keep wipes and extra bags in your daypack. Quiet, interior rooms are usually best for sound‑sensitive dogs.",,,,,,https://www.grandsboulevardshotel.com/,,,,,,
