country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
united-states,los-angeles,Runyon Canyon Dog Park,parks,34.1122,-118.3515,"Popular hillside dog park with off-leash trails and panoramic city views","2000 N Fuller Ave, Los Angeles, CA 90046",https://www.laparks.org,,,true
united-states,los-angeles,The Dog Café,cafes_restaurants,34.0979,-118.3705,"Dog-friendly café where you can adopt rescue dogs while enjoying coffee","7250 Melrose Ave, Los Angeles, CA 90046",https://www.thedogcafela.com,+1-323-433-3013,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
united-states,los-angeles,Laurel Canyon Dog Park,parks,34.1165,-118.3867,"Fenced off-leash dog park in the Hollywood Hills with shade trees","8260 Mulholland Dr, Los Angeles, CA 90046",https://www.laparks.org,,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?auto=format&fit=crop&w=800&q=80,true
united-states,los-angeles,Rosie's Dog Beach,parks,33.7553,-118.1739,"The original dog beach in Southern California with off-leash beach access","5000 E Ocean Blvd, Long Beach, CA 90803",https://www.longbeach.gov,,,true
united-states,los-angeles,Silverlake Dog Park,parks,34.0873,-118.2708,"Community dog park with separate areas for large and small dogs","1850 W Silver Lake Dr, Los Angeles, CA 90026",https://www.laparks.org,,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
united-states,los-angeles,The Canine Hotel & Daycare,shops_services,34.0532,-118.2573,"Luxury dog boarding and daycare facility in Downtown LA","720 E 4th Pl, Los Angeles, CA 90013",https://www.thecaninehotel.com,+1-213-625-2583,,true
united-states,los-angeles,Griffith Park Dog Park,parks,34.1341,-118.2944,"Large off-leash area near the Observatory with hiking trails","4730 Crystal Springs Dr, Los Angeles, CA 90027",https://www.laparks.org,,,true
united-states,los-angeles,Muddy Paw,shops_services,34.1015,-118.3289,"Self-service dog wash and grooming salon in West Hollywood","8716 Santa Monica Blvd, West Hollywood, CA 90069",https://www.muddypaw.com,+1-310-659-1950,,true
united-states,los-angeles,Culver City Dog Park,parks,34.0176,-118.4006,"Modern dog park with artificial turf and water features","Jefferson Blvd & Duquesne Ave, Culver City, CA 90232",https://www.culvercity.org,,https://images.unsplash.com/photo-1587300003388-59208cc962cb?auto=format&fit=crop&w=800&q=80,true
united-states,los-angeles,Zinc Cafe & Market,cafes_restaurants,34.1632,-118.5012,"Dog-friendly organic café with outdoor patio in the Arts District","580 Mateo St, Los Angeles, CA 90013",https://www.zinccafe.com,+1-213-687-0300,,true
united-states,los-angeles,Barrington Dog Park,parks,34.0582,-118.4674,"Well-maintained Brentwood dog park with agility equipment","333 S Barrington Ave, Los Angeles, CA 90049",https://www.laparks.org,,,true
united-states,los-angeles,Leo Carrillo Dog Beach,parks,34.0478,-118.9375,"Scenic Malibu beach allowing dogs off-leash at north end","35000 CA-1, Malibu, CA 90265",https://www.parks.ca.gov,,,true
united-states,los-angeles,Healthy Spot,shops_services,34.0966,-118.3736,"Premium pet store and self-wash with grooming services","8075 W 3rd St, Los Angeles, CA 90048",https://www.healthyspot.com,+1-323-653-2540,,true
united-states,los-angeles,Aroma Coffee & Tea,cafes_restaurants,34.1008,-118.3426,"Dog-friendly café on Melrose with shaded outdoor seating","4360 Tujunga Ave, Studio City, CA 91604",https://www.aromacoffeela.com,+1-818-508-6505,,true
united-states,los-angeles,Hermon Dog Park,parks,34.0950,-118.1995,"Quiet neighborhood dog park with double-gated entry","5566 Via Marisol, Los Angeles, CA 90042",https://www.laparks.org,,,true
