country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
australia,melbourne,Fawkner Park Dog Park,parks,-37.8378,144.9871,"Popular inner-city off-leash area with separate sections for dogs","Toorak Rd W, South Yarra VIC 3141",https://www.melbourne.vic.gov.au,,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?auto=format&fit=crop&w=800&q=80,true
australia,melbourne,St Kilda Dog Beach,parks,-37.8677,144.9735,"Famous off-leash beach with dedicated dog swimming area","Pier Rd, St Kilda VIC 3182",https://www.portphillip.vic.gov.au,,,true
australia,melbourne,Pooches & Pinot,cafes_restaurants,-37.8652,144.9737,"Unique dog-friendly wine bar and café in St Kilda","230 Barkly St, St Kilda VIC 3182",https://www.poochesandpinot.com.au,+61-3-9534-2100,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
australia,melbourne,Royal Park Off-Leash,parks,-37.7836,144.9509,"Massive off-leash area in Melbourne's largest inner-city park","Gatehouse St, Parkville VIC 3052",https://www.melbourne.vic.gov.au,,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
australia,melbourne,The Dog House,shops_services,-37.8030,144.9631,"Premium dog daycare and grooming in North Melbourne","28 Canning St, North Melbourne VIC 3051",https://www.thedoghousemelbourne.com.au,+61-3-9328-3344,,true
australia,melbourne,Yarra Bend Park,parks,-37.7969,145.0142,"Large parkland with riverside off-leash areas and walking trails","Yarra Bend Rd, Fairfield VIC 3078",https://www.parks.vic.gov.au,,,true
australia,melbourne,Westgate Park Dog Beach,parks,-37.8358,144.9127,"Waterfront off-leash area with beach access near the city","Todd Rd, Port Melbourne VIC 3207",https://www.parks.vic.gov.au,,,true
australia,melbourne,Axil Coffee Roasters,cafes_restaurants,-37.8012,144.9945,"Dog-friendly specialty coffee roaster with outdoor seating","322 Burwood Rd, Hawthorn VIC 3122",https://www.axilcoffee.com.au,+61-3-9815-7215,,true
australia,melbourne,Edinburgh Gardens,parks,-37.7810,144.9887,"Popular park with large off-leash area and BBQ facilities","North Fitzroy VIC 3068",https://www.yarracity.vic.gov.au,,https://images.unsplash.com/photo-1587300003388-59208cc962cb?auto=format&fit=crop&w=800&q=80,true
australia,melbourne,Bark Bath & Biscuit,shops_services,-37.8136,144.9631,"Self-service dog wash and grooming in Carlton","130 Elgin St, Carlton VIC 3053",https://www.barkbathandbiscuit.com.au,+61-3-9347-4455,,true
australia,melbourne,Fitzroy Gardens,parks,-37.8143,144.9800,"Historic gardens with morning off-leash areas","Wellington Pde, East Melbourne VIC 3002",https://www.melbourne.vic.gov.au,,,true
australia,melbourne,Altona Dog Beach,parks,-37.8711,144.8286,"Western suburbs beach with year-round off-leash access","The Esplanade, Altona VIC 3018",https://www.hobsonsbay.vic.gov.au,,,true
australia,melbourne,Chez Dré,cafes_restaurants,-37.8696,144.9827,"Dog-friendly patisserie and café with French pastries","525 Malvern Rd, Prahran VIC 3181",https://www.chezdre.com.au,+61-3-9529-5147,,true
australia,melbourne,Albert Park Lake,parks,-37.8434,144.9729,"Scenic lake with designated off-leash areas and walking paths","Aughtie Dr, Albert Park VIC 3206",https://www.portphillip.vic.gov.au,,,true
australia,melbourne,Brighton Dog Beach,parks,-37.9193,144.9875,"Bayside off-leash beach with calm waters and sand","The Esplanade, Brighton VIC 3186",https://www.bayside.vic.gov.au,,,true
