country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
united-states,new-york,Central Park Dog Run,parks,40.7829,-73.9654,"Off-leash dog area in Central Park with separate small and large dog sections","Central Park, 85th St Transverse, New York, NY 10024",https://www.centralparknyc.org/locations/dog-runs,,https://images.unsplash.com/photo-1568515045052-f9a854d70bfd?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Boris & Horton,cafes_restaurants,40.7282,-73.9857,"Dog-friendly café in the East Village with treats for pups and specialty coffee for humans","195 Avenue A, New York, NY 10009",https://www.borisandhorton.com,+1-212-933-1495,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Prospect Park Dog Beach,parks,40.6602,-73.9690,"Seasonal off-leash dog beach area at Prospect Park Lake with swimming access","Prospect Park, Brooklyn, NY 11225",https://www.prospectpark.org/visit-the-park/dog-rules,,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,The Watering Bowl,shops_services,40.7489,-73.9890,"Full-service dog daycare, grooming, and boarding facility in Gramercy","339 E 25th St, New York, NY 10010",https://www.thewateringbowl.com,+1-212-679-2818,,true
united-states,new-york,Washington Square Park Dog Run,parks,40.7308,-73.9973,"Popular fenced dog run in Greenwich Village with benches and water access","Washington Square Park, New York, NY 10012",https://washingtonsquareparkconservancy.org,,https://images.unsplash.com/photo-1568393691622-c7ba131d63b4?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Hudson River Park Dog Runs,parks,40.7307,-74.0110,"Multiple dog runs along the Hudson River waterfront with views of the river","Hudson River Park, New York, NY 10014",https://hudsonriverpark.org/dogs-in-the-park,,,true
united-states,new-york,Tompkins Square Park Dog Run,parks,40.7266,-73.9808,"Historic dog run in East Village, one of NYC's first official dog parks","Tompkins Square Park, New York, NY 10009",https://www.nycgovparks.org,,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Biscuits & Bath,shops_services,40.7614,-73.9776,"Premium dog daycare, grooming, and training with multiple Manhattan locations","227 E 44th St, New York, NY 10017",https://www.biscuitsandbath.com,+1-212-692-2323,,true
united-states,new-york,Chelsea Waterside Park Dog Run,parks,40.7499,-74.0067,"Spacious dog run in Chelsea with separate areas for large and small dogs","Hudson River Greenway, New York, NY 10011",https://www.nycgovparks.org,,https://images.unsplash.com/photo-1587300003388-59208cc962cb?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Le Pain Quotidien - Union Square,cafes_restaurants,40.7359,-73.9911,"Dog-friendly bakery-restaurant with outdoor seating and fresh pastries","801 Broadway, New York, NY 10003",https://www.lepainquotidien.com,+1-212-677-5277,,true
united-states,new-york,Madison Square Park Dog Run,parks,40.7414,-73.9882,"Well-maintained dog run near Flatiron with shaded areas and water fountains","Madison Square Park, New York, NY 10010",https://www.madisonsquarepark.org,,https://images.unsplash.com/photo-1568515387631-8b650bbcdb90?auto=format&fit=crop&w=800&q=80,true
united-states,new-york,Brooklyn Bridge Park Dog Beach,parks,40.6990,-73.9962,"Waterfront dog beach with stunning Manhattan skyline views","334 Furman St, Brooklyn, NY 11201",https://www.brooklynbridgepark.org,,,true
united-states,new-york,The Dog Store,shops_services,40.7267,-73.9832,"Specialty pet store in East Village with premium food, toys, and accessories","328 E 9th St, New York, NY 10003",https://www.thedogstoreonline.com,+1-212-228-5617,,true
united-states,new-york,Riverside Park Dog Runs,parks,40.7956,-73.9722,"Series of dog runs along the Hudson River with great views and amenities","Riverside Park, New York, NY 10025",https://www.nycgovparks.org,,,true
united-states,new-york,Little West 12th Historic Dog Run,parks,40.7407,-74.0088,"Charming dog run in the Meatpacking District with vintage aesthetic","Little W 12th St, New York, NY 10014",https://www.nycgovparks.org,,,true
